trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1192,False,"{'a': 0.6, 'e': 0.00278312200531458}",25,11,25.727587538269972,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1193,False,"{'a': 0.6, 'e': 0.0027182531696645636}",35,22,24.597808252606622,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1194,False,"{'a': 0.6, 'e': 0.002654645352262074}",20,0,20.25972951775461,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1195,False,"{'a': 0.6, 'e': 0.0025922799465842644}",25,8,25.581997768053217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1196,False,"{'a': 0.6, 'e': 0.002531138499713418}",25,19,12.336343887171138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1197,False,"{'a': 0.6, 'e': 0.0024712027132423454}",20,13,12.165572491094556,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1198,False,"{'a': 0.6, 'e': 0.0024124544441385316}",30,16,31.660553438900607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1199,False,"{'a': 0.6, 'e': 0.0023548757055666496}",25,16,18.639760240146824,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1200,False,"{'a': 0.6, 'e': 0.0022984486676699105}",25,20,7.950524891569438,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1201,False,"{'a': 0.6, 'e': 0.0022431556583099688}",20,0,29.74879942105996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
